participant,consistency,matching,key_resp_3.corr,key_resp_3.rt,stage
fp03,i,mismatch,1,0.4736417,adapt
fp03,i,mismatch,1,0.4430544,adapt
fp03,i,mismatch,1,1.024791433,baseline
fp03,i,mismatch,1,1.950887173,baseline
fp03,i,mismatch,1,1.397572391,baseline
fp03,i,mismatch,1,1.931287711,baseline
fp03,i,mismatch,0,1.442643074,baseline
fp03,i,mismatch,1,1.637042797,baseline
fp03,i,mismatch,1,0.658927755,baseline
fp03,i,mismatch,0,,baseline
fp03,i,mismatch,0,0.764043219,baseline
fp03,i,mismatch,0,0.943910991,baseline
fp03,i,mismatch,1,1.74851521,baseline
fp03,i,mismatch,1,1.37872809,baseline
fp04,c,match,1,0.686078502,adapt
fp04,c,match,1,0.496367297,adapt
fp04,c,match,1,0.572263584,adapt
fp04,c,match,1,0.609522036,adapt
fp04,c,match,1,1.283806111,adapt
fp04,c,match,1,0.69764929,adapt
fp04,c,match,1,0.508580301,adapt
fp04,c,match,1,0.554041277,adapt
fp04,c,match,1,0.508375318,adapt
fp04,c,match,1,0.546283363,adapt
fp04,c,match,1,0.495488341,adapt
fp04,c,match,1,0.527896492,adapt
fp04,c,match,1,0.861828093,adapt
fp04,c,match,1,0.576971775,adapt
fp04,c,match,1,0.631069942,adapt
fp04,c,match,1,0.874615306,adapt
fp04,c,match,1,0.928008062,adapt
fp04,c,match,1,0.721038835,adapt
fp04,c,match,1,0.653603306,adapt
fp04,c,match,1,0.660787011,adapt
fp04,c,match,1,0.534368691,adapt
fp04,c,match,1,0.454510364,adapt
fp04,c,match,1,0.754572628,adapt
fp04,c,match,1,0.904154659,adapt
fp04,c,match,1,1.006416961,baseline
fp04,c,match,0,0.747612399,baseline
fp04,c,match,1,0.699475097,baseline
fp04,c,match,1,0.728393727,baseline
fp04,c,match,1,0.695785726,baseline
fp04,c,match,0,0.956561523,baseline
fp04,c,match,1,0.433826865,baseline
fp04,c,match,1,0.514069816,baseline
fp04,c,match,1,0.580634088,baseline
fp04,c,match,1,0.988211655,baseline
fp04,c,match,1,0.491763249,baseline
fp04,c,match,1,0.524781858,baseline
fp04,c,match,1,1.006351199,baseline
fp04,c,match,1,0.482150544,baseline
fp04,c,match,1,0.526004056,baseline
fp04,c,match,1,0.652319403,baseline
fp04,c,match,1,0.411820554,baseline
fp04,c,match,1,1.024027848,baseline
fp04,c,match,1,0.605752996,baseline
fp04,c,match,1,0.590155368,baseline
fp04,c,match,1,0.71214843,baseline
fp04,c,match,1,0.71797264,baseline
fp04,c,match,1,0.624918096,baseline
fp04,c,match,1,0.356858829,baseline
fp04,c,mismatch,1,0.591242307,adapt
fp04,c,mismatch,1,0.66174841,adapt
fp04,c,mismatch,1,0.688137313,adapt
fp04,c,mismatch,1,0.622742952,adapt
fp04,c,mismatch,1,0.538555924,adapt
fp04,c,mismatch,1,0.774037665,adapt
fp04,c,mismatch,1,0.821747037,adapt
fp04,c,mismatch,1,0.559338112,adapt
fp04,c,mismatch,1,0.674504506,adapt
fp04,c,mismatch,1,0.618857259,adapt
fp04,c,mismatch,1,0.514980644,adapt
fp04,c,mismatch,1,0.494854786,adapt
fp04,c,mismatch,1,0.607938631,adapt
fp04,c,mismatch,1,0.549229471,adapt
fp04,c,mismatch,1,0.725668434,adapt
fp04,c,mismatch,1,0.596328386,adapt
fp04,c,mismatch,1,0.699933294,adapt
fp04,c,mismatch,1,0.566100303,adapt
fp04,c,mismatch,1,0.638455101,adapt
fp04,c,mismatch,1,0.584869552,adapt
fp04,c,mismatch,1,1.270283334,adapt
fp04,c,mismatch,1,0.727200833,adapt
fp04,c,mismatch,1,0.752259754,adapt
fp04,c,mismatch,1,0.609731189,adapt
fp04,c,mismatch,1,1.070190385,baseline
fp04,c,mismatch,1,0.724551661,baseline
fp04,c,mismatch,1,0.643069509,baseline
