"participant","trial_num","consistency","matching","key_resp_3.corr","key_resp_3.rt","stage"
"fp12","88","filler","mismatch",1,0.3187417,"adapt"
"fp12","89","c","match",1,0.3890792,"adapt"
"fp12","90","c","mismatch",1,0.5430013,"adapt"
"fp12","91","i","match",1,0.3791727,"adapt"
"fp12","92","i","mismatch",1,0.5010496,"adapt"
"fp12","93","c","match",1,0.3371556,"adapt"
"fp12","94","c","mismatch",1,0.3847418,"adapt"
"fp12","95","i","match",1,0.3660885,"adapt"
"fp12","96","i","mismatch",1,0.3250595,"adapt"
"fp12","97","c","mismatch",1,0.5261578,"adapt"
"fp12","98","c","mismatch",1,0.4143373,"adapt"
"fp12","99","c","mismatch",1,0.3650241,"adapt"
"fp12","100","i","mismatch",1,0.3993319,"adapt"
"fp12","101","i","match",1,0.3586343,"adapt"
"fp12","102","c","match",1,0.3095741,"adapt"
"fp12","103","c","mismatch",1,0.4074503,"adapt"
"fp12","104","c","match",1,0.3094025,"adapt"
"fp12","105","i","match",1,0.7567197,"baseline"
"fp12","106","i","match",1,0.5276443,"baseline"
"fp12","107","c","match",0,1.4459906,"baseline"
"fp12","108","c","match",1,1.2970132,"baseline"
"fp12","109","i","mismatch",1,0.715745,"baseline"
"fp12","110","i","match",1,0.495217,"baseline"
"fp12","111","c","match",1,0.4169786,"baseline"
"fp12","112","filler","mismatch",1,1.0949492,"baseline"
"fp12","113","c","mismatch",1,1.9433024,"baseline"
"fp12","114","c","match",1,0.7404867,"baseline"
"fp12","115","i","match",1,0.9566263,"baseline"
"fp12","116","c","mismatch",1,0.7702697,"baseline"
"fp12","117","i","mismatch",1,1.4914666,"baseline"
"fp12","118","c","match",1,0.5045983,"baseline"
"fp12","119","i","mismatch",1,0.8027978,"baseline"
"fp12","120","c","match",1,0.7313444,"baseline"
"fp12","121","filler","match",1,0.7497601,"baseline"
"fp12","122","i","match",1,0.839159,"baseline"
"fp12","123","i","match",1,0.6794526,"baseline"
"fp12","124","c","match",1,1.4939564,"baseline"
"fp12","125","filler","match",1,0.487685,"baseline"
"fp12","126","c","mismatch",1,1.0488472,"baseline"
"fp12","127","c","mismatch",1,0.7835126,"baseline"
"fp12","128","i","match",0,0.9179986,"baseline"
"fp12","129","c","mismatch",1,0.8544206,"baseline"
"fp12","130","i","mismatch",1,1.5886251,"baseline"
"fp12","131","c","mismatch",1,0.4687531,"baseline"
"fp12","132","i","mismatch",1,0.7463491,"baseline"
"fp12","133","i","match",1,0.4856466,"baseline"
"fp12","134","c","match",1,0.5763782,"baseline"
"fp12","135","i","match",1,0.5183852,"baseline"
"fp12","136","c","mismatch",1,0.5125248,"baseline"
"fp12","137","i","mismatch",1,0.9322719,"baseline"
"fp12","138","i","mismatch",1,0.765972,"baseline"
"fp12","139","i","mismatch",1,0.8695996,"baseline"
"fp12","140","c","mismatch",1,0.7283722,"baseline"
"fp12","141","i","mismatch",1,0.4190615,"baseline"
"fp12","142","i","mismatch",1,0.779785,"baseline"
"fp12","143","i","mismatch",1,0.6748771,"baseline"
"fp12","144","c","mismatch",1,0.5680792,"baseline"
"fp12","145","c","match",1,0.6597321,"baseline"
"fp12","146","c","match",1,0.5746274,"baseline"
"fp12","147","i","match",1,0.4419674,"baseline"
"fp12","148","c","mismatch",1,0.4588912,"baseline"
"fp12","149","c","mismatch",1,0.6930037,"baseline"
"fp12","150","i","match",1,0.6041601,"baseline"
"fp12","151","c","match",1,0.3741601,"baseline"
"fp12","152","i","match",1,0.477153,"baseline"
"fp12","153","c","match",1,0.3371844,"baseline"
"fp12","154","i","mismatch",1,0.3668786,"baseline"
"fp12","155","c","mismatch",1,0.4712638,"baseline"
"fp12","156","filler","mismatch",1,0.6008429,"baseline"
"fp12","157","c","match",1,0.75685,"baseline"
"fp12","158","c","match",1,0.5538527,"baseline"
"fp12","159","i","mismatch",1,0.4817753,"baseline"
"fp12","160","i","mismatch",1,0.6139571,"baseline"
"fp12","161","i","match",1,0.5373348,"baseline"
"fp12","162","c","match",1,0.383777,"baseline"
"fp12","163","i","match",1,0.6758704,"baseline"
"fp12","164","i","match",0,0.5673415,"baseline"
"fp12","165","filler","mismatch",1,0.4600406,"baseline"
"fp12","166","c","match",1,0.7048791,"baseline"
"fp12","167","i","match",1,0.5853405,"baseline"
"fp12","168","i","mismatch",1,0.4763382,"baseline"
"fp12","169","filler","match",1,0.4021945,"baseline"
"fp12","170","i","match",1,0.6293904,"baseline"
"fp12","171","c","match",1,0.3515465,"baseline"
"fp12","172","c","match",1,0.3958271,"baseline"
"fp12","173","i","match",1,0.5193819,"baseline"
"fp12","174","i","mismatch",1,0.3754974,"baseline"
"fp12","175","c","match",1,0.3528617,"baseline"
"fp12","176","c","mismatch",1,0.5212546,"baseline"
"fp12","177","i","mismatch",1,0.4005846,"baseline"
"fp12","178","i","mismatch",1,0.4996872,"baseline"
"fp12","179","i","match",1,0.4629148,"baseline"
"fp12","180","c","mismatch",1,0.6058801,"baseline"
"fp12","181","c","mismatch",1,0.459811,"baseline"
"fp12","182","filler","match",1,0.356101,"baseline"
"fp12","183","i","match",1,0.4236907,"baseline"
"fp12","184","i","mismatch",1,1.0469455,"baseline"
"fp12","185","i","mismatch",1,0.4556011,"baseline"
"fp12","186","c","mismatch",1,0.3981842,"baseline"
"fp12","187","c","mismatch",1,0.5326612,"baseline"
"fp12","188","i","match",1,0.6472311,"baseline"
"fp12","189","c","mismatch",1,0.475238,"baseline"
"fp12","190","c","match",1,0.3668869,"baseline"
"fp12","191","i","mismatch",1,0.4126123,"baseline"
"fp12","192","filler","mismatch",1,0.4414758,"baseline"
"fp12","193","c","match",1,0.3950217,"baseline"
"fp12","194","c","mismatch",1,0.4688918,"baseline"
"fp12","195","i","match",0,0.5207282,"baseline"
"fp12","196","i","mismatch",1,0.5123313,"baseline"
"fp12","197","c","match",1,0.3829674,"baseline"
"fp12","198","c","mismatch",1,0.4570172,"baseline"
"fp12","199","i","match",1,0.5870537,"baseline"
"fp12","200","i","mismatch",1,0.3374503,"baseline"
"fp12","201","c","mismatch",1,0.5416296,"baseline"
"fp12","202","c","mismatch",1,0.4811732,"baseline"
"fp12","203","c","mismatch",1,0.4660614,"baseline"
"fp12","204","i","mismatch",1,0.6473757,"baseline"
"fp12","205","i","match",1,0.5569211,"baseline"
